Entity,Code,Year,Annual CO? emissions (tonnes)
EU-28,,1751,9350528
EU-28,,1752,9354192
EU-28,,1753,9354192
EU-28,,1754,9357856
EU-28,,1755,9361520
EU-28,,1756,10006384
EU-28,,1757,10010048
EU-28,,1758,10013712
EU-28,,1759,10017376
EU-28,,1760,10017376
EU-28,,1761,10973680
EU-28,,1762,10977344
EU-28,,1763,10981008
EU-28,,1764,10984672
EU-28,,1765,10988336
EU-28,,1766,12259744
EU-28,,1767,12263408
EU-28,,1768,12267072
EU-28,,1769,12270736
EU-28,,1770,12274400
EU-28,,1771,13611760
EU-28,,1772,13615424
EU-28,,1773,13619088
EU-28,,1774,13622752
EU-28,,1775,13626416
EU-28,,1776,15037056
EU-28,,1777,15040720
EU-28,,1778,15044384
EU-28,,1779,15048048
EU-28,,1780,15055376
EU-28,,1781,16843408
EU-28,,1782,16847072
EU-28,,1783,16854400
EU-28,,1784,16858064
EU-28,,1785,16865392
EU-28,,1786,19148064
EU-28,,1787,19155392
EU-28,,1788,19159056
EU-28,,1789,19166384
EU-28,,1790,19173712
EU-28,,1791,21416080
EU-28,,1792,21892400
EU-28,,1793,21910720
EU-28,,1794,21877744
EU-28,,1795,21888736
EU-28,,1796,22947632
EU-28,,1797,24090800
EU-28,,1798,25091072
EU-28,,1799,26424768
EU-28,,1800,27835408
EU-28,,1801,27688848
EU-28,,1802,36489776
EU-28,,1803,31187968
EU-28,,1804,33972608
EU-28,,1805,33074928
EU-28,,1806,34709072
EU-28,,1807,36493440
EU-28,,1808,34668768
EU-28,,1809,34683424
EU-28,,1810,36958768
EU-28,,1811,39131520
EU-28,,1812,40520176
EU-28,,1813,40696048
EU-28,,1814,41564416
EU-28,,1815,42883456
EU-28,,1816,46998128
EU-28,,1817,48709216
EU-28,,1818,48859440
EU-28,,1819,49181872
EU-28,,1820,49892688
EU-28,,1821,50603504
EU-28,,1822,52596720
EU-28,,1823,55645168
EU-28,,1824,57506480
EU-28,,1825,59616944
EU-28,,1826,60100592
EU-28,,1827,64464416
EU-28,,1828,65039664
EU-28,,1829,64585328
EU-28,,1830,87005344
EU-28,,1831,82234816
EU-28,,1832,82069936
EU-28,,1833,83257072
EU-28,,1834,85100064
EU-28,,1835,86111328
EU-28,,1836,100023536
EU-28,,1837,99356688
